"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C3,C7,C8,C9,C11,C12,C13,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38","30","100n","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C4,C14,C15,C17","4","10u","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C5,C6","2","30p","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C10","1","1u","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C16","1","220u","","","","Capacitor_SMD:C_0805_2012Metric","~"
"D1,D2","2","LED","","","","LED_SMD:LED_0805_2012Metric","~"
"D3,D4","2","1N5822","","","","Diode_THT:D_DO-201AD_P15.24mm_Horizontal","http://www.vishay.com/docs/88526/1n5820.pdf"
"D5","1","WS2812B","","","","LED_SMD:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","https://cdn-shop.adafruit.com/datasheets/WS2812B.pdf"
"D6,D7,D8,D9,D10,D11,D12,D13","8","D","","","","Diode_SMD:D_SMA","~"
"FB1","1","FerriteBead","","","","Resistor_SMD:R_0805_2012Metric","~"
"J1,J3,J4,J5,J6","5","Conn_01x02","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"J2","1","Conn_01x05","","","","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~"
"J7,J8,J9","3","Screw_Terminal_01x02","","","","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm","~"
"J10,J11","2","DE9_Pins","","","","Connector_Dsub:DSUB-9_Pins_Horizontal_P2.77x2.54mm_EdgePinOffset9.40mm","~"
"L1","1","33u","","","","Inductor_SMD:L_1210_3225Metric","~"
"R1,R4,R5,R6,R7,R8,R11,R12,R14,R21,R24,R26,R28,R31,R33,R39,R40,R41,R42","19","10k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R2","1","150","","","","Resistor_SMD:R_0805_2012Metric","~"
"R3,R22,R23","3","60","","","","Resistor_SMD:R_0805_2012Metric","~"
"R9","1","3,1k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R10","1","1k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R13,R15","2","3.3k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R16,R25","2","20k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R17,R18,R19,R20","4","50","","","","Resistor_SMD:R_0805_2012Metric","~"
"R27,R29,R30,R32","4","22k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R34,R35,R36,R37","4","220k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R38","1","330","","","","Resistor_SMD:R_0805_2012Metric","~"
"R43","1","0","","","","Resistor_SMD:R_0805_2012Metric","~"
"Rshunt1,Rshunt2","2","0.05","","","","Resistor_SMD:R_0805_2012Metric","~"
"SW1,SW2,SW3,SW4,SW5,SW6","6","SW_Push","","","","Button_Switch_THT:SW_PUSH_6mm","~"
"TP_3V3,TP_5V0,TP_GND1,TP_GND2,TP_GND3,TP_GNDPWM1,TP_GNDPWM2,TP_GNDPWM3,TP_GNDPWM4,TP_Vbat0","10","TestPoint","","","","TestPoint:TestPoint_Pad_D1.5mm","~"
"TP_PWM_M1,TP_PWM_M2,TP_Rshunt1,TP_Rshunt2,TP_SCL0,TP_SDA0","6","TestPoint_2Pole","","","","TestPoint:TestPoint_2Pads_Pitch2.54mm_Drill0.8mm","~"
"U1","1","74AHCT1G125","","","","Package_TO_SOT_SMD:SOT-23-5_HandSoldering","http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf"
"U2,U3","2","LM393","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/lm393.pdf"
"U4","1","PIC24HJ128GP502","","","","Package_QFP:TQFP-44_10x10mm_P0.8mm","http://ww1.microchip.com/downloads/en/DeviceDoc/30000684B.pdf"
"U5","1","LM1117DT-3.3","","","","Package_TO_SOT_SMD:TO-252-3_TabPin2","http://www.ti.com/lit/ds/symlink/lm1117.pdf"
"U6","1","LM2596T-5","","","","Package_TO_SOT_THT:TO-220-5_P3.4x3.7mm_StaggerOdd_Lead3.8mm_Vertical","http://www.ti.com/lit/ds/symlink/lm2596.pdf"
"U8,U9","2","INA219AxD","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/ina219.pdf"
"U10","1","MCP2561-E-MF","","","","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm","http://ww1.microchip.com/downloads/en/DeviceDoc/25167A.pdf"
"U11","1","MAX3232","","","","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","https://datasheets.maximintegrated.com/en/ds/MAX3222-MAX3241.pdf"
"U12,U13","2","A1101xLH","","","","Package_TO_SOT_SMD:SOT-23W","https://www.allegromicro.com/-/media/files/datasheets/a110x-datasheet.ashx"
"U14","1","L298P","","","","Package_SO:Infineon_SOIC-20W_7.6x12.8mm_P1.27mm","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00000240.pdf"
"Y1","1","Crystal","","","","Crystal:Crystal_HC52-6mm_Vertical","~"
